Id,Name,Description,Price
156571347,Water Bottle,Brushed stainless steel water bottle. Soft matt finish. Dishwasher-proof.,10.99
156572458,Coffee Mug,White coffee mug. Stain-resistant brown interior. Dishwasher-proof. Make a lasting statement at the coffee club!,8.99
165773457,Women's hat,Women's printed cotton hat. Not suitable for machine wash.,12.99
324284878,Women's Tee,Bright orange Tee for women. Made from woven cotton. Machine washable.,14.99
325183578,Umbrella,"Orange umbrella. Modern styling. Unisex design. UV-resistant fabric, allowing use as parasol.",12.99
412572458,Women's Black Top,"Black top. Fade-resistant polyester, containing 50% recycled material.",14.99
412584658,Men's Printed Tee,Printed Tee with front pocket. Polycotton and machine washable.,14.99
413632458,Men's White Tee,Plain white tee with logo. Stand out in the crowd. Machine washable pure cotton.,14.99
522163231,Children's toy,Our mascot Pooh riding high. Child-safe plastic. Not suitable for children under the age of 3.,14.99
565783357,Men's Cap,Woven high-strength cotton cap. Beige. UV-resistant. Not suitable for machine wash.,12.99
